text,label,language,category,metadata,source
Your Flipkart order #OD18754843 shipped. Delivery by tomorrow. Track: amzn.to/3xPq7Lk,0,en,legitimate_delivery,"{""sender"": ""683728"", ""language"": ""en""}",synthetic_ham
Shaadi ka card download karo: bit.ly/3xK2mN/invitation.apk Zaroor aana! 💒,1,hi_latn,wedding_invitation,"{""sender"": ""+2342122480561"", ""language"": ""hi_latn""}",synthetic_spam
mParivahan: ड्राइविंग लाइसेंस expired। ऑनलाइन रिन्यू करें: tinyurl.com/yvb89kw,1,hi,govt_impersonation,"{""sender"": ""VM-INDUSI"", ""language"": ""hi""}",synthetic_spam
Rajesh और Amit की शादी में आप सादर आमंत्रित हैं। कार्ड डाउनलोड करें: shorturl.at/acEG7/card.apk,1,hi,wedding_invitation,"{""sender"": ""VM-SBI"", ""language"": ""hi""}",synthetic_spam
Your Flipkart order #OD94768096 shipped. Delivery by tomorrow. Track: fkrt.it/t8xB,0,en,legitimate_delivery,"{""sender"": ""558829"", ""language"": ""en""}",synthetic_ham
इस QR कोड को स्कैन करके IndusInd का नया सुरक्षा ऐप डाउनलोड करें: bit.ly/3xK2mN,1,hi,qr_code,"{""sender"": ""noreply@hdfc-secure-login.icu"", ""language"": ""hi""}",synthetic_spam
mParivahan: ड्राइविंग लाइसेंस expired। ऑनलाइन रिन्यू करें: shorturl.at/acEG7,1,hi,govt_impersonation,"{""sender"": ""noreply@phonepe-cashback.store"", ""language"": ""hi""}",synthetic_spam
"Bhai tera IDBI account suspend ho jayega, jaldi ye app install kar: is.gd/k8mPq2/app.apk",1,hi_latn,direct_apk,"{""sender"": ""+2343849309818"", ""language"": ""hi_latn""}",synthetic_spam
"आपका Airtel बिल ₹1,00,000 बकाया है। सेवा बंद होने से पहले भुगतान करें: is.gd/k8mPq2",1,hi,utility_scam,"{""sender"": ""+862933961452"", ""language"": ""hi""}",synthetic_spam
"ਤੁਹਾਡੇ Axis ਖਾਤੇ ਵਿੱਚੋਂ ₹500 ਡੈਬਿਟ ਹੋਏ ਹਨ। ਜੇ ਇਹ ਤੁਸੀਂ ਨਹੀਂ ਕੀਤਾ, ਤਾਂ ਹੁਣੇ ਆਪਣਾ ਖਾਤਾ ਸੁਰੱਖਿਅਤ ਕਰੋ। ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਸਾਡੇ ਨੁਮਾਇੰਦੇ ਨੂੰ ਕਾਲ ਕਰੋ ਅਤੇ ਤਸਦੀਕ ਪ੍ਰਕਿਰਿਆ ਪੂਰੀ ਕਰੋ।",1,pa,callback_only_fraud,"{""sender"": ""+919697913561"", ""language"": ""pa""}",synthetic_spam
"உங்கள் PNB கணக்கிலிருந்து ₹1,000 டெபிட் ஆனது. இது நீங்கள் செய்யவில்லை என்றால், உடனே உங்கள் கணக்கை பாதுகாக்கவும். எங்கள் பிரதிநிதியை அழைத்து சரிபார்ப்பு செயல்முறையை முடிக்கவும், இல்லையெனில் கணக்கு முடக்கப்படும்.",1,ta,callback_only_fraud,"{""sender"": ""+911826030405"", ""language"": ""ta""}",synthetic_spam
आपका Flipkart ऑर्डर #OD32743817 शिप हो गया है। ट्रैक करें: amzn.to/3xPq7Lk,0,hi,legitimate_delivery,"{""sender"": ""202439"", ""language"": ""hi""}",synthetic_ham
"Bhai kal exam hai, थोड़ा जल्दी सो जा आज।",0,mixed_script,mixed_language_conversational,"{""sender"": ""AD-INDUSI"", ""language"": ""mixed_script""}",synthetic_ham
"Bhai kal exam hai, थोड़ा जल्दी सो जा आज।",0,mixed_script,mixed_language_conversational,"{""sender"": ""097928"", ""language"": ""mixed_script""}",synthetic_ham
जन्मदिन मुबारक! 🎂 ढेर सारी शुभकामनाएं!,0,hi,personal_messages,"{""sender"": ""227152"", ""language"": ""hi""}",synthetic_ham
आपका Flipkart ऑर्डर #OD20863957 शिप हो गया है। ट्रैक करें: amzn.to/3xPq7Lk,0,hi,legitimate_delivery,"{""sender"": ""892525"", ""language"": ""hi""}",synthetic_ham
"Tere IndusInd account se ₹5,000 debit hua hai. Agar tune nahi kiya to abhi apna account secure kar. 24 ghante mein action lo warna account block ho jayega. Hamare representative ko call karo verification ke liye.",1,hi_latn,callback_only_fraud,"{""sender"": ""+919628477296"", ""language"": ""hi_latn""}",synthetic_spam
"₹2,500 was debited from your HDFC account. If this was not done by you, secure your account now.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ।
We tried to reach you regarding your pending issue. Call us back on the number below and our representative will guide you through the verification process.",1,mixed_script,callback_only_fraud,"{""sender"": ""VM-HDFC"", ""language"": ""mixed_script""}",synthetic_spam
Rahul और Sunita की शादी में आप सादर आमंत्रित हैं। कार्ड डाउनलोड करें: tinyurl.com/yvb89kw/card.apk,1,hi,wedding_invitation,"{""sender"": ""VM-UNIONB"", ""language"": ""hi""}",synthetic_spam
ALERT: Your Axis account has been compromised! Verify immediately: shorturl.at/acEG7,1,en,shortened_url_urgency,"{""sender"": ""VM-INDUSI"", ""language"": ""en""}",synthetic_spam
"Scan QR to receive your Google Pay cashback of ₹2,500: tinyurl.com/yvb89kw",1,en,qr_code,"{""sender"": ""+917757518427"", ""language"": ""en""}",synthetic_spam
Kya tum aaj party mein aa rahe ho? Batao!,0,hi_latn,personal_messages,"{""sender"": ""AD-IDBI"", ""language"": ""hi_latn""}",synthetic_ham
"E-challan notice: ₹2,500 ka traffic fine pending hai. Pay karo: shorturl.at/acEG7",1,hi_latn,govt_impersonation,"{""sender"": ""VM-HDFC"", ""language"": ""hi_latn""}",synthetic_spam
"🎉 बधाई हो! आपने ICICI लकी ड्रॉ में ₹5,000 जीते! क्लेम करें: cutt.ly/2wR4kLm",1,hi,financial_reward,"{""sender"": ""VM-HDFC"", ""language"": ""hi""}",synthetic_spam
இந்த QR குறியீட்டை ஸ்கேன் செய்து Federal Bank பாதுகாப்பு ஆப் பதிவிறக்கம் செய்யவும்: rb.gy/x7n3p,1,ta,qr_code,"{""sender"": ""VM-HDFC"", ""language"": ""ta""}",synthetic_spam
Sorry galat number 😊 But tum ache lag rahe ho. Profile dekho: tinyurl.com/yvb89kw,1,hi_latn,affinity_scam,"{""sender"": ""VM-HDFC"", ""language"": ""hi_latn""}",synthetic_spam
Flipkart order ruka hai address issue ki wajah se. Verify karo: bit.ly/3xK2mN,1,hi_latn,delivery_notification,"{""sender"": ""401269"", ""language"": ""hi_latn""}",synthetic_spam
Congratulations! You have won a cash prize of ₹500. Claim now at is.gd/k8mPq2 before it expires.,1,en,shortened_url_bare,"{""sender"": ""754204"", ""language"": ""en""}",synthetic_spam
yaar mujhe mujhe mujhe mujhe mujhe mujhe mujhe mujhe kuch samajh nahi aa raha aaj,0,hi_latn,repeated_word_noise,"{""sender"": ""844885"", ""language"": ""hi_latn""}",synthetic_ham
Your Vi SIM will be blocked. Download KYC verification app: https://sbi-update-kyc.top/kyc.apk,1,en,direct_apk,"{""sender"": ""652671"", ""language"": ""en""}",synthetic_spam
"तुमच्या Kotak खात्यातून ₹1,00,000 डेबिट झाले आहेत. जर हे तुम्ही केले नसेल, तर लगेच तुमचे खाते सुरक्षित करा. कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे खाते बंद होईल. आमच्या प्रतिनिधीला कॉल करा आणि पडताळणी प्रक्रिया पूर्ण करा.",1,mr,callback_only_fraud,"{""sender"": ""+442200392102"", ""language"": ""mr""}",synthetic_spam
Can you pick up milk on the way home? Thanks!,0,en,personal_messages,"{""sender"": ""653257"", ""language"": ""en""}",synthetic_ham
Aadhaar update karna zaroori hai. Link: is.gd/k8mPq2,1,hi_latn,govt_impersonation,"{""sender"": ""621277"", ""language"": ""hi_latn""}",synthetic_spam
Urgent! Canara mobile banking app update karo: tinyurl.com/yvb89kw/update.apk KYC mandatory hai,1,hi_latn,direct_apk,"{""sender"": ""noreply@hdfc-secure-login.icu"", ""language"": ""hi_latn""}",synthetic_spam
कूरियर पार्टनर डिलीवर नहीं कर सका। पता कन्फर्म करें: shorturl.at/acEG7,1,hi,delivery_notification,"{""sender"": ""VM-PNB"", ""language"": ""hi""}",synthetic_spam
mParivahan: ड्राइविंग लाइसेंस expired। ऑनलाइन रिन्यू करें: cutt.ly/2wR4kLm,1,hi,govt_impersonation,"{""sender"": ""019322"", ""language"": ""hi""}",synthetic_spam
Wedding Invitation: Rahul & Priya's wedding on 15th March. View card: tinyurl.com/yvb89kw/card.apk,1,en,wedding_invitation,"{""sender"": ""noreply@epfo-claim-status.online"", ""language"": ""en""}",synthetic_spam
BSNL KYC अपडेट जरूरी है। ऐप डाउनलोड करें: cutt.ly/2wR4kLm/kyc.apk वरना SIM बंद हो जाएगी,1,hi,direct_apk,"{""sender"": ""VM-UNIONB"", ""language"": ""hi""}",synthetic_spam
"ਪਿਆਰੇ ਗਾਹਕ,
Congratulations! You are eligible for a pre-approved offer of ₹10,000 from ICICI.
ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਪੇਸ਼ਕਸ਼ ਖਤਮ ਹੋ ਜਾਵੇਗੀ। ਸਾਡੇ ਨੁਮਾਇੰਦੇ ਨੂੰ ਕਾਲ ਕਰੋ।",1,mixed_script,callback_only_fraud,"{""sender"": ""noreply@mparivahan-dl.xyz"", ""language"": ""mixed_script""}",synthetic_spam
"Tera Paytm cashback ₹1,00,000 ready hai. Jaldi claim kar: is.gd/k8mPq2",1,hi_latn,financial_reward,"{""sender"": ""812347"", ""language"": ""hi_latn""}",synthetic_spam
आपका Flipkart ऑर्डर #OD53241408 शिप हो गया है। ट्रैक करें: fkrt.it/q2mN9,0,hi,legitimate_delivery,"{""sender"": ""+916162265713"", ""language"": ""hi""}",synthetic_ham
ALERT: Your HDFC account has been compromised! Verify immediately: bit.ly/3xK2mN,1,en,shortened_url_urgency,"{""sender"": ""047759"", ""language"": ""en""}",synthetic_spam
"மின்-சாலான் அறிவிப்பு: ₹5,000 போக்குவரத்து அபராதம். இப்போதே செலுத்துங்கள்: shorturl.at/acEG7",1,ta,govt_impersonation,"{""sender"": ""+440574999346"", ""language"": ""ta""}",synthetic_spam
"மின்-சாலான் அறிவிப்பு: ₹1,00,000 போக்குவரத்து அபராதம். இப்போதே செலுத்துங்கள்: is.gd/k8mPq2",1,ta,govt_impersonation,"{""sender"": ""567137"", ""language"": ""ta""}",synthetic_spam
"⚡ সতর্কতা: বিদ্যুৎ সংযোগ আজ বিচ্ছিন্ন হবে। বকেয়া: ₹50,000। এখনই পে করুন: shorturl.at/acEG7",1,bn,utility_scam,"{""sender"": ""+914729037824"", ""language"": ""bn""}",synthetic_spam
Meeting rescheduled to 3 PM. See you in conference room B.,0,en,personal_messages,"{""sender"": ""+913311639581"", ""language"": ""en""}",synthetic_ham
"Jio: Your recharge of ₹2,500 was successful. Validity: 28 days. Data: 1.5GB/day.",0,en,legitimate_promo,"{""sender"": ""+913299302589"", ""language"": ""en""}",synthetic_ham
"🎉 Congratulations! You've won ₹10,000 in the Union Bank Lucky Draw! Claim: shorturl.at/acEG7",1,en,financial_reward,"{""sender"": ""451269"", ""language"": ""en""}",synthetic_spam
"നിങ്ങളുടെ SBI അക്കൗണ്ടിൽ നിന്ന് ₹5,000 ഡെബിറ്റ് ചെയ്തു. ഇത് നിങ്ങൾ ചെയ്തതല്ലെങ്കിൽ, ഉടൻ അക്കൗണ്ട് സുരക്ഷിതമാക്കുക. ഞങ്ങളുടെ പ്രതിനിധിയെ വിളിക്കുക, അല്ലെങ്കിൽ അക്കൗണ്ട് ബ്ലോക്ക് ചെയ്യപ്പെടും.",1,ml,callback_only_fraud,"{""sender"": ""VM-PNB"", ""language"": ""ml""}",synthetic_spam
"Your BHIM cashback of ₹10,000 is ready! Claim before it expires: is.gd/k8mPq2",1,en,financial_reward,"{""sender"": ""465184"", ""language"": ""en""}",synthetic_spam
Meeting 3 baje shift ho gayi hai. Room B mein milte hain.,0,hi_latn,personal_messages,"{""sender"": ""+915132787051"", ""language"": ""hi_latn""}",synthetic_ham
"Union Bank से विशेष इनाम ₹1,00,000। अभी क्लेम करें: cutt.ly/2wR4kLm",1,hi,financial_reward,"{""sender"": ""946616"", ""language"": ""hi""}",synthetic_spam
"🎉 অভিনন্দন! আপনি Axis লাকি ড্র-তে ₹50,000 জিতেছেন! দাবি করুন: rb.gy/x7n3p",1,bn,financial_reward,"{""sender"": ""+917985769748"", ""language"": ""bn""}",synthetic_spam
तुरंत SBI सुरक्षा ऐप इंस्टॉल करें। आपका OTP चोरी हो सकता है। डाउनलोड: https://irctc-booking.club/secure.apk,1,hi,direct_apk,"{""sender"": ""077836"", ""language"": ""hi""}",synthetic_spam
⚠️ BOB எச்சரிக்கை: புதிய பாதுகாப்பு ஆப்பைப் பதிவிறக்கம் செய்யவும்: https://irctc-booking.club/app.apk,1,ta,direct_apk,"{""sender"": ""noreply@irctc-booking.club"", ""language"": ""ta""}",synthetic_spam
"آپ کے IndusInd اکاؤنٹ سے ₹1,000 ڈیبٹ ہوئے ہیں۔ اگر یہ آپ نے نہیں کیا تو ابھی اپنا اکاؤنٹ محفوظ بنائیں۔ براہ کرم فوری طور پر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔ ہمارے نمائندے کو کال کریں اور تصدیقی عمل مکمل کریں۔",1,ur,callback_only_fraud,"{""sender"": ""VM-AXIS"", ""language"": ""ur""}",synthetic_spam
Your driving license renewal application has been received. Track at parivahan.gov.in/DL-24905555,0,en,legitimate_govt,"{""sender"": ""AD-SBI"", ""language"": ""en""}",synthetic_ham
Meesho: Your package is out for delivery today. Enjoy your purchase!,0,en,legitimate_delivery,"{""sender"": ""+913027003969"", ""language"": ""en""}",synthetic_ham
"IndusInd Free Msg: Your bill is paid. Thanks, here's a little gift for you: tinyurl.com/yvb89kw",1,en,shortened_url_bare,"{""sender"": ""noreply@mparivahan-dl.xyz"", ""language"": ""en""}",synthetic_spam
"మీ Axis ఖాతా నుండి ₹2,500 డెబిట్ అయింది. ఇది మీరు చేయకపోతే, వెంటనే మీ ఖాతాను సురక్షితం చేసుకోండి. మా ప్రతినిధికి కాల్ చేసి ధృవీకరణ పూర్తి చేయండి, లేకపోతే ఖాతా బ్లాక్ అవుతుంది.",1,te,callback_only_fraud,"{""sender"": ""717841"", ""language"": ""te""}",synthetic_spam
"ਪਿਆਰੇ ਗਾਹਕ,
Congratulations! You are eligible for a pre-approved offer of ₹500 from Yes Bank.
ਕਿਰਪਾ ਕਰਕੇ 24 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਪੇਸ਼ਕਸ਼ ਖਤਮ ਹੋ ਜਾਵੇਗੀ। ਸਾਡੇ ਨੁਮਾਇੰਦੇ ਨੂੰ ਕਾਲ ਕਰੋ।",1,mixed_script,callback_only_fraud,"{""sender"": ""+916113429521"", ""language"": ""mixed_script""}",synthetic_spam
உங்கள் Canara கணக்கு ஆபத்தில் உள்ளது. பாதுகாப்பு ஆப் நிறுவுங்கள்: is.gd/k8mPq2/secure.apk,1,ta,direct_apk,"{""sender"": ""VM-KOTAK"", ""language"": ""ta""}",synthetic_spam
"ଆପଣଙ୍କ Axis ଖାତାରୁ ₹2,500 ଡେବିଟ ହୋଇଛି। ଏହା ଆପଣ କରିନଥିଲେ, ତୁରନ୍ତ ଆପଣଙ୍କ ଖାତାକୁ ସୁରକ୍ଷିତ କରନ୍ତୁ। ଆମ ପ୍ରତିନିଧିଙ୍କୁ କଲ କରନ୍ତୁ, ନଚେତ ଖାତା ବ୍ଲକ ହେବ।",1,or,callback_only_fraud,"{""sender"": ""+913248934593"", ""language"": ""or""}",synthetic_spam
"ਤੁਹਾਡੇ IDBI ਖਾਤੇ ਵਿੱਚੋਂ ₹2,500 ਡੈਬਿਟ ਹੋਏ ਹਨ। ਜੇ ਇਹ ਤੁਸੀਂ ਨਹੀਂ ਕੀਤਾ, ਤਾਂ ਹੁਣੇ ਆਪਣਾ ਖਾਤਾ ਸੁਰੱਖਿਅਤ ਕਰੋ। ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਸਾਡੇ ਨੁਮਾਇੰਦੇ ਨੂੰ ਕਾਲ ਕਰੋ ਅਤੇ ਤਸਦੀਕ ਪ੍ਰਕਿਰਿਆ ਪੂਰੀ ਕਰੋ।",1,pa,callback_only_fraud,"{""sender"": ""543380"", ""language"": ""pa""}",synthetic_spam
Amazon: Your package is out for delivery today. Enjoy your purchase!,0,en,legitimate_delivery,"{""sender"": ""646939"", ""language"": ""en""}",synthetic_ham
इस QR कोड को स्कैन करके Federal Bank का नया सुरक्षा ऐप डाउनलोड करें: tinyurl.com/yvb89kw,1,hi,qr_code,"{""sender"": ""186595"", ""language"": ""hi""}",synthetic_spam
"আপনার SBI অ্যাকাউন্ট থেকে ₹1,00,000 ডেবিট হয়েছে। যদি এটি আপনি না করে থাকেন, এখনই আপনার অ্যাকাউন্ট সুরক্ষিত করুন। অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে। আমাদের প্রতিনিধিকে কল করুন যাচাইকরণের জন্য।",1,bn,callback_only_fraud,"{""sender"": ""noreply@icici-verify.xyz"", ""language"": ""bn""}",synthetic_spam
चेतावनी: आपका HDFC KYC आज expire हो रहा है। अभी अपडेट करें: tinyurl.com/yvb89kw वरना खाता बंद,1,hi,shortened_url_urgency,"{""sender"": ""+915986617199"", ""language"": ""hi""}",synthetic_spam
Meeting 3 baje shift ho gayi hai. Room B mein milte hain.,0,hi_latn,personal_messages,"{""sender"": ""+915533603769"", ""language"": ""hi_latn""}",synthetic_ham
"🎉 तुरंत पर्सनल लोन ₹10,000 तक! कोई दस्तावेज नहीं। ऐप डाउनलोड करें: rb.gy/x7n3p",1,hi,loan_app,"{""sender"": ""+913411938714"", ""language"": ""hi""}",synthetic_spam
Delivery fail ho gayi. Reschedule karo: bit.ly/3xK2mN,1,hi_latn,delivery_notification,"{""sender"": ""289929"", ""language"": ""hi_latn""}",synthetic_spam
"⚠️ IMPORTANT: ₹1,00,000 debited from your Yes Bank account. If not you, report: tinyurl.com/yvb89kw",1,en,shortened_url_urgency,"{""sender"": ""+910741840926"", ""language"": ""en""}",synthetic_spam
