id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source
69,"प्रिय उपयोगकर्ता,
आपका Axis Bank केवाईसी समाप्त हो गया है और इसे पुनः सत्यापित करना आवश्यक है।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
axis-secure-bank.tk
Axis_Secure.apk",spam,apk_fraud,bank_kyc,hi,link_apk,Axis Bank,+91 7700XXXX45,synthetic_v2
70,अब मेरा दोपहर का खाना खा चुका है. अमेरिका पहले से ही खाते हैं?,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
71,"প্রিয়,আপনি রাস্তায় tonite.busy পাঠান,আপনি রাস্তায় tonite.things দেখছে ok.varunnathu edukkukayee raksha ollu.but একটি ভাল একটি বাস্তব মানে।",not_spam,real_ham,conversational,mixed,n/a,,,real_csv
72,चांगले काम करतात. गुरुवारी तयार हो.,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
73,Your OTP for a transaction of INR 5000 is 7417. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AX-PWRBIL,synthetic_v2
74,كم تريد R أن تدفع؟,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
75,"ਪਿਆਰੇ ਗਾਹਕ,
Your electricity bill of Rs 1500 with Power Distribution Co is pending.
ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] PowerPay_App.apk",spam,apk_fraud,electricity,pa,no_explicit_app_word,Power Distribution Co,VM-SBIBNK,synthetic_v2
76,احمق لا يستطيع,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
77,"प्रिय ग्राहक,
तुमच्या वाहनावर वाहतूक नियम उल्लंघन नोंदवले गेले आहे. दंड रक्कम: रु 2000. चलन क्रमांक: CH39417237.
कृपया २४ तासांच्या आत कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल.
कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा.
[फॉरवर्ड केलेले] ParivahanSewa.apk  14 MB . APK",spam,apk_fraud,rto_challan,mr,attached_file_no_link,Parivahan Sewa,AX-PWRBIL,synthetic_v2
78,أمضى سنوات جديدة مع أخي وعائلته.سوف تخطط للقاء الأسبوع المقبل.هل أنت مستعد للخداع؟ :),not_spam,real_ham,conversational,mixed,n/a,,,real_csv
79,"Dear Vehicle Owner, A traffic rules violation has been recorded against your vehicle. Fine amount: Rs 1500. Challan Number: CH28562326. Please act within 3 days or legal action will be taken or legal action will be taken against you. Click and open the pdf file below and check your details.
[Forwarded] RTOCHALAN.apk  14 MB . APK",spam,apk_fraud,rto_challan,en,pdf_then_apk,RTO Traffic Police,VK-RTOGOV,synthetic_v2
80,"Dear Customer , Asamanya login activity ki wajah se aapka WhatsApp account suspend ho sakta hai. jaldi se jaldi jawab de, nahi to connection cut ho jayega. Attached file check kare aur use khol kar aage badhe.
[Forwarded] WhatsApp_Verify.apk  14 MB . APK",spam,apk_fraud,security_verify,hg,attached_file_no_link,WhatsApp,INFO-GOVT,synthetic_v2
81,"اچھا خیال - ""شکریہ کہ آپ کے پاس سب کچھ نہیں ہے جو آپ چاہتے ہیں، اس کا مطلب یہ ہے کہ آپ کو اب بھی آج سے زیادہ خوش رہنے کا موقع ملتا ہے.""",not_spam,real_ham,conversational,mixed,n/a,,,real_csv
82,"Hello Rajesh, your FEDEX package with tracking code GB-6263-D94 is waiting for you to set delivery preferences: tinyurl.com/y8mfraud",spam,link_fraud,fake_delivery_link,en,link_only,,+91 7700XXXX45,synthetic_v2
83,"Priya Grahak, Aapka Power Distribution Co bijli bill Rs 500 pending hai. 24 ghante ke andar jawab de, nahi to legal action hoga. Niche diye link se app install kare.
powerpay-bill.in
PowerPay_App.apk",spam,apk_fraud,electricity,hg,link_apk,Power Distribution Co,AD-NETFLX,synthetic_v2
84,Congratulations! You have won a cash prize of Rs 1000. Claim now at e5nbu.xyz/claim before it expires.,spam,link_fraud,prize_link,en,link_only,,AX-PWRBIL,synthetic_v2
85,"প্রিয় গ্রাহক,
আপনার গাড়ির বিরুদ্ধে একটি ট্রাফিক নিয়ম লঙ্ঘন রেকর্ড করা হয়েছে। জরিমানা: 1000 টাকা। চালান নম্বর: CH26941092।
অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে।
There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] ",spam,apk_fraud,rto_challan,bn,no_explicit_app_word,RTO Traffic Police,INFO-GOVT,synthetic_v2
86,অড্রি লুসি স্বয়ংক্রিয়,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
87,"Namaste Customer, Income Tax Dept e-Filing: Aapko Rs 50000 ka refund milne wala hai. jaldi se jaldi jawab de, nahi to legal action hoga. Is message ke sath attach QR code scan kare aur turant verify kare.",spam,apk_fraud,govt_refund,hg,qr_code,Income Tax Dept e-Filing,JD-ITAXRF,synthetic_v2
88,"Dear Vehicle Owner, Your HDFC Bank KYC has expired and needs re-verification. Please act before midnight or your connection will be disconnected. There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process.
[Forwarded] HDFC_KYCUpdate.apk",spam,apk_fraud,bank_kyc,en,no_explicit_app_word,HDFC Bank,AD-NETFLX,synthetic_v2
89,Congratulations! You have won a cash prize of Rs 2000. Claim now at bit.ly/3xK9pL before it expires.,spam,link_fraud,prize_link,en,link_only,,VK-INDPST,synthetic_v2
90,Probably a couple hours tops,not_spam,real_ham,conversational,mixed,n/a,,,real_csv
91,"Dear Sir/Madam, Congratulations! You are eligible for a pre-approved offer of Rs 1500 from QuickLoan Finance. Please act before midnight or you will lose this offer. Click the link below and install the app to proceed.
quickloan-approve.xyz
Loan_Approval.apk",spam,apk_fraud,loan_job,en,link_apk,QuickLoan Finance,+91 8800XXXX12,synthetic_v2
92,"Asamanya login activity ki wajah se aapka Google Account account suspend ho sakta hai. aaj hi jawab de, nahi to aapka account block ho jayega. Niche di gayi pdf file kholkar apni details check kare.
[Forwarded] Google_Secure.apk  14 MB . APK",spam,apk_fraud,security_verify,hg,pdf_then_apk,Google Account,+91 8800XXXX12,synthetic_v2
93,Your OTP FOR a transaction of INR 2000 is 2645. Do not share this OTP with anyone including bank officials.,spam,link_fraud,otp_phish,en,link_only,,AD-NETFLX,synthetic_v2
94,"Your Google Account account will be suspended due to unusual login activity.
অনুগ্রহ করে আজই ব্যবস্থা নিন , নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে।
অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন।
[ফরওয়ার্ড করা হয়েছে] Google_Secure.apk  14 MB . APK",spam,apk_fraud,security_verify,bn,attached_file_no_link,Google Account,+91 7700XXXX45,synthetic_v2
95,"Your electricity bill of Rs 500 with State Electricity Board is pending.
ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ।
ਕਿਰਪਾ ਕਰਕੇ ਨੱਥੀ ਫਾਈਲ ਦੇਖੋ ਅਤੇ ਅੱਗੇ ਵਧਣ ਲਈ ਇਸਨੂੰ ਖੋਲ੍ਹੋ।
[ਅੱਗੇ ਭੇਜਿਆ] Electricity_Pay.apk  14 MB . APK",spam,apk_fraud,electricity,pa,attached_file_no_link,State Electricity Board,VK-RTOGOV,synthetic_v2
