text,label
"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ, INR 1000 was debited from your SBI account. If this was not done by you, secure your account now. ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ। There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process. [Forwarded] SBI_Secure.apk",spam
OK you can take me shopping when you get paid =D,ham
"ਕਿਰਪਾ ਕਰਕੇ ਇਸ ਨੂੰ ਛੱਡੋ, ਕਿਰਪਾ ਕਰਕੇ ਇਸ ਨੂੰ ਛੱਡੋ, ਕਿਰਪਾ ਕਰਕੇ ਇਸ ਨੂੰ ਛੱਡੋ, ਕਿਰਪਾ ਕਰਕੇ ਇਸ ਨੂੰ ਛੱਡੋ?",ham
Badhai ho! Aapne Rs 1000 ka prize jeeta hai. Abhi claim kare cutt.ly/fakeapp par warna offer khatam ho jayega.,spam
"অভিনন্দন! QuickLoan Finance থেকে 50000 টাকার প্রাক-অনুমোদিত অফারের জন্য আপনি যোগ্য। অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে। অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন। [ফরওয়ার্ড করা হয়েছে] Loan_Approval.apk 14 MB . APK",spam
त्याने दिसून येतो की तो सेवानिवृत्त झाला.,ham
محترم گاہک، آپ کا State Electricity Board بجلی کا بل 25000 روپے واجب الادا ہے۔ براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا اکاؤنٹ بند ہو جائے گا۔ Scan the QR code attached to this message to complete verification instantly.,spam
"Aapke Paytm Payments Bank acount se Rs 50000 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. turant jawab de, nahi to legal action hoga. Niche diye link se app install kare. paytm-secure-acc.xyz Paytm_Secure.apk",spam
Your OTP for a transaction of INR 50000 is 8763. Do not share this OTP with anyone including bank officials.,spam
"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ, Your electricity bill of Rs 1000 with Power Distribution Co is pending. ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ। powerpay-bill.in PowerPay_App.apk",spam
"Dear Customer, You have received a cashback of Rs 500 from PhonePe Rewards. Kindly respond before midnight, otherwise legal action will be taken against you. Please check the attached file for full details and open it to proceed. [Forwarded] PhonePe_Reward.apk 14 MB . APK",spam
"শ্রদ্ধেয় গ্রাহক, Your electricity bill of Rs 50000 with Power Distribution Co is pending. অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে। নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন। powerpay-bill.in PowerPay_App.apk",spam
"Dear Customer, Aapka State Electricity Board bijli bill Rs 2000 pending hai. Kripya aaj hi action le, warna legal action hoga. Niche di gayi pdf file kholkar apni details check kare. [Forwarded] Electricity_Pay.apk 14 MB . APK",spam
"I can't, I don't have her number!",ham
"Income Tax Dept e-Filing: आप रु 50000 की वापसी के पात्र हैं। कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें। [अग्रेषित] IT_Refund_Portal.apk 14 MB . APK",spam
"আপনার SBI কেওয়াইসি মেয়াদ শেষ হয়ে গেছে এবং পুনরায় যাচাই করা প্রয়োজন। অনুগ্রহ করে অবিলম্বে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে। নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন। sbi-secure-update.in SBI_Secure.apk",spam
"तुमचे ICICI Bank केवायसी संपले आहे आणि पुन्हा पडताळणी आवश्यक आहे. कृपया आजच कारवाई करा , अन्यथा तुमचे कनेक्शन तोडले जाईल. खालील लिंकवरून अॅप इंस्टॉल करा. icici-verify-kyc.xyz ICICI_Verify.apk",spam
Badhai ho! Aapne Rs 1500 ka prize jeeta hai. Abhi claim kare e3fmr.info/track par warna offer khatam ho jayega.,spam
"आपके SBI खाते से रु 1500 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam
Your OTP for a transaction of INR 1500 is 3319. Do not share this OTP with anyone including bank officials.,spam
Ü comin to fetch us oredi...,ham
"Dear Sir/Madam, INR 1000 was debited from your ICICI Bank account. If this was not done by you, secure your account now. Kindly respond within 3 days or legal action will be taken, otherwise legal action will be taken against you. Please check the attached file for full details and open it to proceed. [Forwarded] ICICI_Verify.apk 14 MB . APK",spam
"प्रिय उपयोगकर्ता, You have received a cashback of Rs 50000 from PhonePe Rewards. कृपया तुरंत कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें। [अग्रेषित]",spam
"Hello Pooja, your FEDEX package with tracking code GB-1695-E77 is waiting for you to set delivery preferences: bedy13..com/update",spam
Your OTP for a transaction of INR 2000 is 1759. Do not share this OTP with anyone including bank officials.,spam
"Priya Grahak, Income Tax Dept e-Filing: Aapko Rs 5000 ka refund milne wala hai. jaldi se jaldi jawab de, nahi to connection cut ho jayega. Attached file check kare aur use khol kar aage badhe. [Forwarded] IT_Refund_Portal.apk 14 MB . APK",spam
محترم گاہک، Netflix: Your membership has expired. براہ کرم 24 گھنٹوں کے اندر اقدام کریں، ورنہ آپ کا کنکشن منقطع کر دیا جائے گا۔ Scan the QR code attached to this message to complete verification instantly.,spam
"Dear Customer, Aapke RBL Bank account se Rs 750 debit hua hai. Agar yeh aapne nahi kiya to account secure kare. Kripya turant action le, warna legal action hoga. Niche diye link se app install kare. rbl-protect-acc.info RBL_Protect.apk",spam
هل يمكن أن تفعل ذلك الليلة أو هل تريد فقط الانتظار حتى الغد,ham
"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ, Your electricity bill of Rs 50000 with Power Distribution Co is pending. ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਖਾਤਾ ਬਲਾਕ ਹੋ ਜਾਵੇਗਾ। ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ। powerpay-bill.in PowerPay_App.apk",spam
"Hello Priya, your FEDEX package with tracking code GB-7551-D28 is waiting for you to set delivery preferences: cutt.ly/fakeapp",spam
"Dear Customer, Your Bank of Baroda KYC has expired and needs re-verification. Please act within 24 hours or legal action will be taken against you. Click the link below and install the app to proceed. bob-update-kyc.in BOB_Update.apk",spam
"Dear Customer, Your FedEx parcel with tracking code GB-4719-E12 could not be delivered due to incomplete address. Kindly respond right now to avoid penalty, otherwise you will lose this offer. Please check the attached file for full details and open it to proceed. [Forwarded] FedEx_Delivery.apk 14 MB . APK",spam
"प्रिय ग्राहक, Income Tax Department: तुम्ही रु 25000 परतावा मिळण्यास पात्र आहात. कृपया त्वरित कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल. कृपया संलग्न फाईल तपासा आणि पुढे जाण्यासाठी ती उघडा. [फॉरवर्ड केलेले] TaxRefund_IT.apk 14 MB . APK",spam
جہاں بھی بھوکے تھے,ham
Your electricity bill of Rs 50000 with State Electricity Board is pending. Please act within 24 hours or you will lose this offer. Click the link below and install the app to proceed. bijli-bill-pay.xyz Electricity_Pay.apk,spam
"प्रिय उपयोगकर्ता, आपका India Post पार्सल ट्रैकिंग कोड GB-9930-D11 अधूरे पते के कारण वितरित नहीं किया जा सका। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें। [अग्रेषित] IndiaPost_Track.apk 14 MB . APK",spam
"Hello Anjali, your FEDEX package with tracking code GB-2926-G56 is waiting for you to set delivery preferences: e5nbu.xyz/claim",spam
"A traffic rules violation has been recorded against your vehicle. Fine amount: Rs 750. Challan Number: CH82353403. Kindly respond right now to avoid penalty, otherwise your account will be blocked. Please check the attached file for full details and open it to proceed. [Forwarded] ParivahanSewa.apk 14 MB . APK",spam
Your FedEx parcel with tracking code GB-5402-G58 could not be delivered due to incomplete address. Please act before midnight or your service will be suspended permanently. Click the link below and install the app to proceed. fedex-delivery-in.xyz FedEx_Delivery.apk,spam
"শ্রদ্ধেয় গ্রাহক, Income Tax Dept e-Filing: You are eligible for a refund of Rs 200. অনুগ্রহ করে ২৪ ঘন্টার মধ্যে ব্যবস্থা নিন, নতুবা আপনার সংযোগ বিচ্ছিন্ন করা হবে। অনুগ্রহ করে সংযুক্ত ফাইলটি দেখুন এবং এগিয়ে যেতে এটি খুলুন। [ফরওয়ার্ড করা হয়েছে] IT_Refund_Portal.apk 14 MB . APK",spam
"ਪਿਆਰੇ ਗਾਹਕ, ਅਸਾਧਾਰਨ ਲੌਗਇਨ ਗਤੀਵਿਧੀ ਕਾਰਨ ਤੁਹਾਡਾ WhatsApp ਖਾਤਾ ਮੁਅੱਤਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਅੱਜ ਹੀ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ। ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ ਤੋਂ ਐਪ ਇੰਸਟਾਲ ਕਰੋ। whatsapp-verify-acc.xyz WhatsApp_Verify.apk",spam
غلط ٹیلی فون!یہ ٹیلی فون!میں اس کا جواب دیتا ہوں لیکن دوسری کا خیال ہے کہ لوگ میں اچھا نہیں ہوں,ham
"Dear Sir/Madam, Your WhatsApp acount will be suspended due to unusual login activity. Kindly respond within 24 hours, otherwise legal action will be taken against you. Click the link below and install the app to proceed. whatsapp-verify-acc.xyz WhatsApp_Verify.apk",spam
Congratulations! You have won a cash prize of Rs 50000.. Claim now at cutt.ly/fakeapp before it EXPIRES.,spam
"Dear Sir/Madam, Your BlueDart parcel with tracking code GB-9115-C35 could not be delivered due to incomplete address. Kindly respond right now to avoid penalty, otherwise your connection will be disconnected. Please check the attached file for full details and open it to proceed. [Forwarded] BlueDart_Track.apk 14 MB . APK",spam
दोन वर्षांपूर्वी मी तुझा मित्रता खोलो. :),ham
"ਮੈਨੂੰ ਕੰਮ ਨਹੀਂ ਹੈ. ਮੈਨੂੰ სკოლა ਵਿੱਚ ਹੈ, so if we hurry we go hungry.",ham
"আপনার Bank of Baroda কেওয়াইসি মেয়াদ শেষ হয়ে গেছে এবং পুনরায় যাচাই করা প্রয়োজন। অনুগ্রহ করে আজই ব্যবস্থা নিন, নতুবা আপনার অ্যাকাউন্ট বন্ধ হয়ে যাবে। নিচের লিঙ্ক থেকে অ্যাপ ইনস্টল করুন। bob-update-kyc.in BOB_Update.apk",spam
"आपका State Electricity Board बिजली बिल रु 25000 बकाया है। कृपया तुरंत कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। नीचे दिए गए लिंक से ऐप इंस्टॉल करें। bijli-bill-pay.xyz Electricity_Pay.apk",spam
"Disney+ Hotstar: Your membership has expired. Kindly respond within 3 days or legal action will be taken, otherwise your connection will be disconnected. Click the link below and install the app to proceed. hotstar-renew.info Hotstar_Renew.apk",spam
Lolrrrow मेरी माँ मेरे scras के साथ हमेशा ले जा रहा है. Paciey 2 मिनट दूर की तरह है.,ham
