text,label,language,category,metadata,source,stratify_col
UPPCL: Electricity bill for November is INR 694. Pay by 2025-09-09 to avoid disconnection.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Hi Oviya, are we meeting today at Berhampore?",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Vi: Your recharge of INR 4GB/day for 664 is successful. Balance: INR 102,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
aathi..where are you dear..,0,en,public_dataset,{},sms_spam,0_en
Leena: Can you send me the notes for yesterday's class?,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"कि, राजकुमारी क्यों है? मैं सब तेरा पीछा कर रहे हैं!",0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
BSES: Your electricity bill for October is INR 4017. Due date: 2025-09-02. Pay online: https://bsesdelhi.com,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Aadhaar: Your update request 8299 has been approved.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
MSEDCL: Bill amount INR May for 2684. Pay at https://mahadiscom.in by 2025-09-18,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Swiggy: Order from 960153 delivered. Enjoy your meal! Bill amount: INR Chopra LLC,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
WINNER! You got ₹SBI cashback in your 983 Bank account. Claim now: http://bank-reward1637.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Your Amazon order #159492 has been delivered. Rate your experience: https://amazon.in,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
MSEDCL: Bill amount INR September for 3129. Pay at https://mahadiscom.in by 2025-09-15,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
UPPCL: Electricity bill for June is INR 584. Pay by 2025-09-19 to avoid disconnection.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Hey, the party is at Hitesh at Nellore PM. Don't be late!",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
have * good weekend.,0,en,public_dataset,{},sms_spam,0_en
Your PNB account XX6342 has balance of INR 17663 as on 34265.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your PNB account XX4927 has balance of INR 3980 as on 56791.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Flipkart: Your order 865537 is out for delivery. Track: https://flipkart.com/track/Srivastava-Sachdeva,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your meter will be removed today due to non-payment. Call 798 immediately.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Adani Electricity: Your bill of INR November for 3587 is generated. Due date: 2025-09-01.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
FREE 10GB data for Airtel users! Claim now: http://free-data976.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Aadhaar: Your update request 13339 has been approved.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax Dept: Your refund of INR 4629 has been processed. Will be credited in 3-5 days.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Jio: You won 1 year free subscription! Call 693 to claim.,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
"Hi Sathvik, are we meeting today at Chennai?",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Vi: Special offer! 100GB at INR 878/month. Activate now: http://vi-offer8733385586.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Alright. I'm out--have a good night!,0,en,public_dataset,{},sms_spam,0_en
Your OTP for a transaction of INR 2000 is 3958. Do not share this OTP with anyone including bank officials.,1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
INR 4518 debited from HDFC Bank A/C XX22539 on 34418. Avl Bal INR Shukla. -HDFC Bank,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax: You have pending refund of INR 390. Claim now: http://tax-refund153.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Get rich quick! Earn ₹7838230350 daily from home. Call Ahmednagar,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Passport Seva: Your appointment is confirmed for 11819 at September,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Swiggy: Order from 829726 delivered. Enjoy your meal! Bill amount: INR Bath, Dar and Krishna",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں میں تم سے محبت کرتا ہوں,0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
BSNL: Bill of INR 5GB/day due on 520. Pay to avoid service disruption.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale823.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
"Hey, the party is at Edhitha at Sambalpur PM. Don't be late!",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Hi Krisha, are we meeting today at Kadapa?",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your meter will be removed today due to non-payment. Call 957 immediately.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax Dept: Your refund of INR 3477 has been processed. Will be credited in 3-5 days.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Dear Customer, download the updated Paytm app for better security: tinyurl.com/yvb89kw/update.apk",1,en,direct_apk,"{""sender"": ""+917286459114"", ""language"": ""en""}",synthetic_spam,1_en
No need to ke qi... Ü too bored izzit y suddenly thk of this...,0,en,public_dataset,{},sms_spam,0_en
MSEDCL: Bill amount INR June for 1871. Pay at https://mahadiscom.in by 2025-09-26,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill736.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Swiggy: Order from 894860 delivered. Enjoy your meal! Bill amount: INR Borah-Mangat,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Get 50% discount on your 829 electricity bill! Pay only INR Bhubaneswar. Limited time: http://bill-discount858.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Kotak Mahindra Bank: OTP 8941 for transaction of INR 6521 at 22100. Do not share with anyone.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
BSNL: Bill of INR 4GB/day due on 202. Pay to avoid service disruption.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Axis Bank: Unusual login detected from new device. Secure your account: http://verify-bank415.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
What u talking bout early morning? It's almost noon where your at!,0,en,public_dataset,{},sms_spam,0_en
Jio: Main balance INR 3GB/day. Data balance 894GB. Active plans: 413,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Hello Suresh, your FEDEX package with tracking code GB-85315308 is waiting for you to set delivery preferences: rb.gy/x7n3p",1,en,shortened_url_bare,"{""sender"": ""+869337870975"", ""language"": ""en""}",synthetic_spam,1_en
INR 3646 debited from HDFC Bank A/C XX42528 on 55310. Avl Bal INR Chandran. -HDFC Bank,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"प्रिय ग्राहक, You have received a cashback of Rs 5000 from Paytm Cashback. कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें। [अग्रेषित] Paytm_Cashback.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
URGENT: Your Axis Bank account will be suspended. Verify now: http://bank-secure897.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Your SBI account XX6579 has been debited with INR 5475. Avl bal: INR 83382. -State Bank of India,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Vi: Your recharge of INR 4GB/day for 680 is successful. Balance: INR 406,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Single women in 8895076504 waiting to meet you! Call Aizawl,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
جی ہاں، آپ کھیل کے بارے میں کیا سوچتے ہیں؟,0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
UPI of INR 6455 to 33420 from A/C XX97412 successful. Ref No. Nagy - Yes Bank,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Airtel: Your plan will renew in 2 days. Current plan: 4GB/day at INR 902. Data balance: 347GB,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Flipkart: Your order 742872 is out for delivery. Track: https://flipkart.com/track/Khosla Ltd,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your meter will be removed today due to non-payment. Call 502 immediately.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Electricity bill refund of INR 685 approved! Claim now: http://refund-powerBhiwani.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
MSEDCL: Bill amount INR March for 2781. Pay at https://mahadiscom.in by 2025-09-20,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Vi: Your recharge of INR 3GB/day for 485 is successful. Balance: INR 453,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Mom: Please bring Ekavir from the market,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Dun b sad..It's over.. Dun thk abt it already. ਹੋਰ ਨਕਸ਼ੇ 'ਤੇ ਕੰਟਰੋਲ ਕਰੋ.,0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
Flipkart: Your order 586976 is out for delivery. Track: https://flipkart.com/track/Sahni-Bera,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Flipkart: Your order 134162 is out for delivery. Track: https://flipkart.com/track/Thaker Group,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your meter will be removed today due to non-payment. Call 997 immediately.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Income Tax Dept: Your refund of INR 12861 has been processed. Will be credited in 3-5 days.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
FREE 10GB data for Airtel users! Claim now: http://free-data388.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Vi: Your recharge of INR 4GB/day for 444 is successful. Balance: INR 167,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
URGENT: Your HDFC Bank account will be suspended. Verify now: http://bank-secure481.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
FREE 10GB data for Airtel users! Claim now: http://free-data624.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Mom: Please bring Elijah from the market,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Thank you for using your ICICI Bank Debit Card XX3672 for INR 40409 at 39710. Avl Bal INR Chacko.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Your PNB account XX7334 has balance of INR 5314 as on 16592.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"Congratulations! You are eligible for a pre-approved offer of Rs 200 from QuickLoan Finance. कृपया आजच कारवाई करा, अन्यथा तुमचे खाते बंद होईल. खालील पीडीएफ फाईल उघडून तुमचे तपशील तपासा. [फॉरवर्ड केलेले] Loan_Approval.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
Vi: Your recharge of INR 1GB/day for 278 is successful. Balance: INR 495,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
BSNL: Bill of INR 1GB/day due on 210. Pay to avoid service disruption.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
BSNL: Bill of INR 1GB/day due on 238. Pay to avoid service disruption.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Swiggy: Order from 855460 delivered. Enjoy your meal! Bill amount: INR Prashad LLC,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Thank you for using your ICICI Bank Debit Card XX7959 for INR 10935 at 21526. Avl Bal INR Bail.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,0,en,public_dataset,{},sms_spam,0_en
The basket's gettin full so I might be by tonight,0,en,public_dataset,{},sms_spam,0_en
Your SBI account XX8660 has been debited with INR 19147. Avl bal: INR 26956. -State Bank of India,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion234.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Vi: Your recharge of INR 2GB/day for 299 is successful. Balance: INR 500,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Kabir: Doctor appointment confirmed for Meerut at 10,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Vi: Special offer! 100GB at INR 680/month. Activate now: http://vi-offer8902096539.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
"Hey, the party is at Joshua at Mahbubnagar PM. Don't be late!",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Jio: You won 1 year free subscription! Call 328 to claim.,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
MSEDCL: Bill amount INR March for 3148. Pay at https://mahadiscom.in by 2025-09-16,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
UPPCL: Electricity bill for May is INR 3752. Pay by 2025-09-04 to avoid disconnection.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"ਸਤਿਕਾਰਯੋਗ ਗਾਹਕ, ਅਸਾਧਾਰਨ ਲੌਗਇਨ ਗਤੀਵਿਧੀ ਕਾਰਨ ਤੁਹਾਡਾ Google Account ਖਾਤਾ ਮੁਅੱਤਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਤੁਰੰਤ ਕਾਰਵਾਈ ਕਰੋ, ਨਹੀਂ ਤਾਂ ਤੁਹਾਡਾ ਕੁਨੈਕਸ਼ਨ ਕੱਟ ਦਿੱਤਾ ਜਾਵੇਗਾ। Click and open the pdf file below and check your details. [Forwarded] Google_Secure.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
"Namaste Customer, Congratulations! HR Recruitment Cell se Rs 50000 ka pre-approved offer mila hai. Kripya aaj hi action le, warna legal action hoga. Attached file check kare aur use khol kar aage badhe. [Forwarded] Job_Portal.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
Vi: Special offer! 100GB at INR 420/month. Activate now: http://vi-offer9531720408.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
"आदरणीय ग्राहक, INR 200 was debited from your Paytm Payments Bank account.. If this was not done by you, secure your account now. कृपया त्वरित कारवाई करा, अन्यथा तुमचे कनेक्शन तोडले जाईल. There is an important update regarding your recent request. Please open the document below and follow the steps to complete the process. [Forwarded]",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
"आदरणीय ग्राहक, आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 1500। चालान संख्या: CH18282820। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा। इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
"Hi Akshay, are we meeting today at Morena?",0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
"प्रिय ग्राहक, असामान्य लॉगिन गतिविधि के कारण आपका Google Account खाता निलंबित किया जा सकता है। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा। नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें। [अग्रेषित] Google_Secure.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
K.i did't see you.:)k:)where are you now?,0,en,public_dataset,{},sms_spam,0_en
Axis Bank: INR 2980 spent on your Card XX34799 at 61513 on Ray. Available limit: INR 2514.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Vi: Special offer! 100GB at INR 312/month. Activate now: http://vi-offer9907591324.com,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Amazon: You won iPhone 15! Claim now: http://amazon-gift326.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Amaira: Doctor appointment confirmed for Korba at 7,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill866.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
"Congratulations! You are eligible for a pre-approved offer of Rs 1500 from QuickLoan Finance. Kindly respond within 24 hours, otherwise you will lose this offer. Please check the attached file for full details and open it to proceed. [Forwarded] Loan_Approval.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
أستطيع أن أكون جيدًا هناك.,0,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,0_unknown
"प्रिय उपयोगकर्ता, आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 500। चालान संख्या: CH83334481। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें। [अग्रेषित] RTOCHALAN.apk 14 MB . APK",1,unknown,raw_dataset,{},synthetic_fake_app_dataset_v2.csv,1_unknown
Jio: Main balance INR 5GB/day. Data balance 236GB. Active plans: 379,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
EPFO: Pension contribution of INR 16746 received for October. Total balance: INR 392558,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Yep then is fine 7.30 or 8.30 for ice age.,0,en,public_dataset,{},sms_spam,0_en
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0,en,public_dataset,{},sms_spam,0_en
Kotak Mahindra Bank: OTP 7010 for transaction of INR 35095 at 78882. Do not share with anyone.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Electricity bill refund of INR 644 approved! Claim now: http://refund-powerPanvel.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
UPPCL: Electricity bill for September is INR 1073. Pay by 2025-09-08 to avoid disconnection.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
TATA Power: Bill for August is INR 3797. Due: 2025-09-16. Pay via UPI: 8015874235@ok7648642558,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Aadhaar: Your update request 13872 has been approved.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion282.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
Adani Electricity: Your bill of INR January for 1586 is generated. Due date: 2025-09-21.,0,en,public_dataset,{},CloveAI/india-spam-sms,0_en
Horrible bf... I now v hungry...,0,en,public_dataset,{},sms_spam,0_en
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion436.in,1,en,public_dataset,{},CloveAI/india-spam-sms,1_en
